word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
predynastic,+,asociación,-,epigenetic,boku,productores,antioxidant,weasel
membered,+,refraction,-,rifles,torino,patchwork,ionization,mariel
toro,+,washed,-,rivière,navigate,mortally,bailed,kinetics
carthaginians,+,elections,-,manual,futures,citizenry,leagues,1683
fennel,+,tonight,-,flotilla,chichagov,hey,sweet,bland
algal,+,.69,-,sturgeon,456,kwon,xe,forestry
tenet,+,compositing,-,plagues,helens,laureate,niall,qb
sergio,+,advertising,-,ties,arista,ipad,visionary,1435
mountainous,+,communicated,-,riverbed,cruz,aggravated,inhaled,239pu
'oyly,+,fungi,-,gleaner,conquering,'amore,'erlon,orci
according,+,600,-,charlatan,gusts,207,515,518
guianan,+,funds,-,fathers,gallon,aasm,logistical,xylem
sprinkled,+,1256,-,rupture,supercargo,524,sky1,australasia
valkyrie,+,drunkenness,-,mumford,backpack,poo,amano,freshness
zhuge,+,polymorpha,-,quails,fables,née,peck,ricardo
chajoma,+,scialfa,-,function,boku,jeered,lamarr,penalized
league,+,rubble,-,theory,1870s,yellowstone,yorkshire,rugby
attending,+,reclassified,-,patents,halong,educated,redesignated,racially
despuig,+,nursed,-,egyptians,oscillations,rudy,reactivated,dumoulin
inflammation,+,newsday,-,4800,highbury,masculinity,absence,clonmacnoise
epsom,+,brian,-,modems,wandering,colby,davis,animation
absentia,+,stoddart,-,internees,radiant,wyman,1695,kessenich
primus,+,authoritative,-,above,ideally,greengrass,organist,dimitri
cutaways,+,benznidazole,-,avoids,masterfully,ylides,autism,gratitude
arrowhead,+,kubisch,-,californium,x02,xiapi,commences,turnout
toni,+,enefit,-,imprecise,tati,1565,clio,remission
bras,+,bannermen,-,rave,waite,creditors,ellipsoidal,workmen
oblivious,+,paddle,-,domini,unsound,compartment,flourish,manoeuvre
family,+,phantoms,-,adolf,doubtful,palimpsest,executioner,bearer
đorđević,+,bishopric,-,withdrawing,caesarea,poniewozik,puffballs,yoko
gaveston,+,pisa,-,lakselv,moderating,carys,amun,xander
rehearsals,+,dorn,-,m6,1530,1842,adept,thebes
reforming,+,snooker,-,deen,aggregations,contradicting,cqc,headwaters
archive,+,grandidier,-,dre,sandro,thanhouser,himalayas,scarface
sharpe,+,superpowers,-,courchevel,cobbled,baines,likenesses,repetitive
296,+,jumbled,-,bologna,und,310,271,671
mail,+,inferred,-,undercut,symphony,emerges,highlights,nineties
968,+,packers,-,duality,shrapnel,900,scarves,jazeera
butt,+,extracts,-,commemorations,flexibility,fiery,stems,dancefloor
jarrars,+,horrors,-,jellyfish,valuing,mayoralty,municipality,conservatives
shirtless,+,assailed,-,degesch,negligent,intercut,mirroring,....
janković,+,kline,-,pisa,inflationary,catcher,cantus,1171
recoil,+,kiosks,-,talkin,sars,rostral,topical,pichler
giorgio,+,concurrently,-,evanescence,tuck,godfrey,icty,aligned
foliot,+,imagination,-,amongst,browne,speechless,tréhot,plato
cassie,+,sagittarius,-,shahrbaraz,ogilvy,outro,stansberry,pastry
forbidding,+,malnutrition,-,mitchells,tunis,possess,nightmarish,j.h
birkerts,+,toulon,-,airline,mauled,photoshop,scraps,vytautas
fractious,+,butai,-,branca,bracken,iaf,alongside,wizarding
heady,+,transverse,-,alsace,edessa,leggings,horizontally,electrode
zoo,+,contests,-,dramas,tribes,shanghai,caregiver,hillsboro
bail,+,affable,-,vrb,kendall,mccullough,gustin,marinas
ss,+,np3,-,interestingly,jeep,u,roi,x12
3s,+,timeframe,-,partook,primates,brownish,putative,futurians
griffiths,+,abiding,-,jokingly,devonport,grandniece,grandfathers,intrusion
crescendo,+,hyperactive,-,organizer,rivière,satisfying,summoner,lowercase
939,+,1736,-,misread,hinterland,1531,1341,corsica
replenishment,+,workstations,-,treble,immigrating,vladivostok,arundel,colds
selections,+,cantata,-,soloists,rendering,encore,omission,domestication
nme,+,wru,-,harrington,basins,favorably,exoperidium,mourner
amanda,+,scots,-,musson,rolling,sprotborough,olav,penguin
vibration,+,manna,-,kidnappings,mayweather,heed,readings,statutory
vaults,+,nerf,-,removing,lib,antecedent,boyer,keats
bilbao,+,sony,-,deduction,atheistic,marconi,warner,ballets
extensive,+,bramwith,-,bryan,wiedensahl,hanford,increased,sit
75,+,creswick,-,charming,kva,62,69,35
sidi,+,tear,-,oxendine,bien,expositions,snap,novelty
gaba,+,rapidity,-,newsreels,～,paragraphs,vaccinations,mouth
kotche,+,retraced,-,pileggi,protoplanet,wandered,reprised,recuperating
determined,+,confidence,-,stout,blonde,consumers,mimicry,uncouth
frenetic,+,antioch,-,ijn,slash,mimics,hirosaki,patriotism
avoided,+,glut,-,canisters,beg,androgyny,skated,hunwick
banca,+,palms,-,duress,eulogy,quoll,viejo,abaft
inventors,+,brilliantly,-,phish,hilltop,wario,whistling,fantastic
pandey,+,71,-,papery,moorland,643,copacabana,brendan
drury,+,implacably,-,signatories,quayside,alexandrescu,sukarno,calendrical
understandable,+,kancelled,-,hoot,heralded,muddled,styled,baibars
ass,+,téa,-,931,dillon,earnestly,whistle,jokes
twisted,+,greenlit,-,espionage,tess,marketed,autographed,neutralised
compels,+,eaa,-,antónio,vieja,contrary,aquila,wag
malloy,+,carapace,-,davisville,beaked,fatwā,truncata,loathed
markets,+,infective,-,lourdes,salo,countries,triazolam,abelisaurids
lautner,+,flyer,-,tangible,alga,broadcasting,swell,procurement
malfunctioning,+,theo,-,østfold,branksome,archie,courting,sexpunctatus
tartar,+,enabled,-,cawston,overwhelm,requiring,supports,encapsulates
synoptic,+,peeled,-,vamp,strobe,localised,ratified,diverted
valerie,+,tur,-,regular,marten,debra,emmeline,sherilyn
tremayne,+,mcelroy,-,gabrielle,soured,fincher,'sullivan,starfleet
dial,+,finalist,-,rig,girish,mouthed,principled,concave
heroin,+,then,-,clairvaux,asserts,cried,eventually,quickly
preview,+,hooley,-,kartheiser,strode,upkeep,compendium,royalist
steamboats,+,auto,-,shelters,fold,ix,founder,circumnavigating
chartered,+,inactivity,-,stds,notoriety,extinguisher,pressing,unrecognised
disrupts,+,basile,-,propagation,pondering,charlie,goldhagen,intercity
hotspot,+,kohala,-,monopolised,burgundian,seuna,netherlands,netherlands
compose,+,æthelwealh,-,bnsf,williamsport,sora,plead,portray
shrink,+,scialfa,-,protrude,hegemony,begged,erastian,trương
wrangler,+,ipc,-,affectionate,armouries,motorways,refreshed,millimetre
cantharellus,+,towers,-,flexed,uneasy,trawlers,grosvenor,motivational
emphasised,+,sakanaction,-,lilies,refitted,trusted,removes,looney
dunkirk,+,channeling,-,dougherty,paradox,drava,1600,desks
allowed,+,1158,-,throated,reckoning,demoted,heliopolis,ensconced
hornberger,+,581,-,antithesis,cadences,cb,'ad,620
brentford,+,hermann,-,conan,1759,1599,chadderton,dorchester
trousers,+,establishes,-,persian,lynette,sibling,raps,loved
henning,+,loa,-,ajg,irlam,gossett,complètes,honorius
pubic,+,3b,-,rcsi,allegiances,homemaker,curtin,lê
controversially,+,flagstaff,-,invertebrate,lamenting,raine,hyōgo,schwab
disappearance,+,rpgs,-,key,variants,possibilities,colonisation,priests
abaft,+,marco,-,purported,castile,gripen,faxicura,chandos
elated,+,potomac,-,ostracized,alchemist,yangtze,cleland,kangaroo
scabrella,+,disappointment,-,qualities,dareus,micrantha,nigam,meisneri
781,+,choirmaster,-,curry,keto,kenilworth,kongo,766th
opinion,+,aboriginals,-,1100,allosaurus,prestige,identity,understanding
carefully,+,yeager,-,lesson,chippewa,zoologist,canyons,lidgbird
ambushes,+,călinescu,-,bison,sawfilers,melina,cesare,deflect
anzac,+,ruggiero,-,ruthin,sarsgaard,514th,ccf,jäger
superstition,+,agathosmus,-,gartner,fenians,graptolitic,hulked,archive
feynman,+,fourths,-,gagged,salonika,cqc,mitigating,compliments
caterpillar,+,taaramäe,-,militarily,tegeans,changeup,tohari,lalich
whitaker,+,tis,-,libel,atigun,qu,uncontrollably,carell
normandy,+,mohareb,-,is,patriarchal,jacobites,armenia,pavements
okinawan,+,romanus,-,evolving,granular,cfb,banksia,solis
sprinter,+,allentown,-,korea,bibcode,aur,foursome,parklands
augusto,+,generations,-,covenants,embezzlement,benicio,diacritics,sethusamudram
pre-,+,sol,-,183rd,collared,riku,eligio,nowhere
mersa,+,lesbians,-,depict,kdav,hedley,trafalgar,hendford
way,+,alkan,-,gabon,juliet,desire,credit,credit
provisioned,+,beet,-,committeeman,xp,resilient,incubated,ponsonby
usaaf,+,shiloh,-,road,lbf,411th,pki,entremets
cold,+,conch,-,injected,mascots,m.i.a,phallic,rugrats
jacob,+,nightmarish,-,corrosion,nightclubs,klaus,milner,pauley
biochemical,+,709,-,belloni,nauru,905,sized,buddhi
alga,+,marker,-,kromer,cerebral,motorola,earthwork,storming
hue,+,revolt,-,scarcely,genital,seuna,quadrant,annals
attends,+,mackinnon,-,covent,dislocated,dismisses,invites,robotic
kaur,+,bag,-,corresponding,adoptive,cunt,gisele,woodworking
hypothetical,+,tisdale,-,loaded,basingstoke,pinocchio,pentathlon,~
sign,+,krasnyi,-,abram,dire,invest,xinhua,sunlike
boulder,+,invite,-,testified,hang,relieve,validate,judgements
winslow,+,inquisition,-,guidelines,epistle,vanguard,garbo,tailor
sonja,+,crossland,-,corset,doria,falco,hurt,eluded
ahsan,+,lenses,-,polytheistic,erection,legibility,ral,lyla
730,+,shamanism,-,chavez,740,396,292,adrenaline
cang,+,fjord,-,feliz,heartbreaker,1608,tsangpo,aftershock
sarcophilus,+,1582,-,search,boku,1757,hatcher,tb
witchcraft,+,bonn,-,approximants,pines,burbank,tampons,1278
shaw,+,glottis,-,reveals,surreptitiously,whispering,kirkwood,gothic
full,+,brennan,-,strut,gelatinous,bethlem,mobilizing,sponsoring
vicki,+,heath,-,quiney,stardom,salon.com,poughkeepsie,vincenzo
secunda,+,heights,-,lambing,aston,buckinghamshire,nlcs,raoul
shiban,+,bottas,-,nichols,blah,boarders,impassable,houchen
sperrle,+,contrast,-,surprising,ortons,m8,courchevel,dunne
